                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                0.00011,                0.51613,                      1,                0.99818,              0.0070894,              0.0070894,              0.0070894
                    149,                  3e-05,                0.51613,                      1,                0.99127,              0.0070696,              0.0070696,              0.0070696
                    150,                  3e-05,                0.52419,                      1,                0.98929,              0.0070498,              0.0070498,              0.0070498
                    151,                 0.0001,                0.52419,                      1,                0.98909,                0.00703,                0.00703,                0.00703
                    152,                  4e-05,                0.52823,                      1,                0.98935,              0.0070102,              0.0070102,              0.0070102
                    153,                  3e-05,                0.53226,                      1,                0.98853,              0.0069904,              0.0069904,              0.0069904
                    154,                  3e-05,                0.53226,                      1,                0.98666,              0.0069706,              0.0069706,              0.0069706
                    155,                  2e-05,                0.53226,                      1,                0.98627,              0.0069508,              0.0069508,              0.0069508
                    156,                  9e-05,                0.52823,                      1,                0.98834,               0.006931,               0.006931,               0.006931
                    157,                  4e-05,                 0.5121,                      1,                   0.99,              0.0069112,              0.0069112,              0.0069112
                    158,                  3e-05,                0.52016,                      1,                0.98992,              0.0068914,              0.0068914,              0.0068914
                    159,                  2e-05,                0.52016,                      1,                0.98957,              0.0068716,              0.0068716,              0.0068716
                    160,                0.00014,                0.52419,                      1,                0.98945,              0.0068518,              0.0068518,              0.0068518
                    161,                  2e-05,                0.52419,                      1,                0.98791,               0.006832,               0.006832,               0.006832
                    162,                  1e-05,                0.52823,                      1,                0.98704,              0.0068122,              0.0068122,              0.0068122
                    163,                  2e-05,                0.52823,                      1,                 0.9862,              0.0067924,              0.0067924,              0.0067924
                    164,                  3e-05,                0.53226,                      1,                0.98457,              0.0067726,              0.0067726,              0.0067726
                    165,                  6e-05,                0.52823,                      1,                0.98411,              0.0067528,              0.0067528,              0.0067528
                    166,                  2e-05,                0.52823,                      1,                0.98265,               0.006733,               0.006733,               0.006733
                    167,                  2e-05,                0.52823,                      1,                0.98218,              0.0067132,              0.0067132,              0.0067132
                    168,                  2e-05,                0.52419,                      1,                0.98238,              0.0066934,              0.0066934,              0.0066934
                    169,                  2e-05,                0.52823,                      1,                0.98264,              0.0066736,              0.0066736,              0.0066736
                    170,                  1e-05,                0.52419,                      1,                0.98268,              0.0066538,              0.0066538,              0.0066538
                    171,                  2e-05,                0.52419,                      1,                0.98286,               0.006634,               0.006634,               0.006634
                    172,                  2e-05,                0.52419,                      1,                0.98266,              0.0066142,              0.0066142,              0.0066142
                    173,                  3e-05,                0.52419,                      1,                 0.9828,              0.0065944,              0.0065944,              0.0065944
                    174,                  2e-05,                0.52419,                      1,                0.98292,              0.0065746,              0.0065746,              0.0065746
                    175,                 0.0001,                0.52016,                      1,                0.98693,              0.0065548,              0.0065548,              0.0065548
                    176,                  3e-05,                0.52419,                      1,                0.99035,               0.006535,               0.006535,               0.006535
                    177,                  1e-05,                0.52016,                      1,                0.99045,              0.0065152,              0.0065152,              0.0065152
